,product,started,closed,winner,price
0,Caixa de Som,2022-02-16 07:00:00,2022-02-16 12:26:24,mimdepapai.,"R$ 32,96"
1,Drone Multilaser Eagle,2022-02-16 11:00:00,2022-02-16 11:57:28,the.king,"R$ 6,33"
2,IPhone 13 Pro,2022-02-16 10:00:00,2022-02-16 10:14:00,email,"R$ 6,31"
3,Pacote 50 Lances,2022-02-16 09:00:00,2022-02-16 09:01:57,Edson  Luis. Mechilino,"R$ 0,73"
4,Pacote 50 Lances,2022-02-16 06:00:00,2022-02-16 06:09:53,gutergues,"R$ 1,81"
5,Patinete Elétrico Maj,2022-02-15 20:00:00,2022-02-16 04:31:33,lvasquez,"R$ 58,98"
6,Pacote 100 Lances,2022-02-15 23:00:00,2022-02-16 00:46:09,Check Matte,"R$ 13,69"
7,Adega 8 garrafas,2022-02-15 20:30:00,2022-02-15 23:44:42,Edersonrodrigo,"R$ 19,31"
8,MacBook Air Intel,2022-02-15 22:00:00,2022-02-15 23:20:58,ValadaresJoão,"R$ 11,19"
9,Pacote 100 Lances,2022-02-15 21:00:00,2022-02-15 21:06:45,Fulano de Tal,"R$ 1,29"
10,Caixa de Som,2022-02-15 19:30:00,2022-02-15 20:38:21,ClariceSampaio,"R$ 9,02"
11,IPhone 13 Pro,2022-02-13 10:00:00,2022-02-15 19:04:41,signorelli7,"R$ 369,45"
12,Maquina De Gelo,2022-02-15 19:00:00,2022-02-15 19:04:26,GiL_DESPACHANTE,"R$ 0,80"
13,Lava E Seca,2022-02-15 14:00:00,2022-02-15 19:04:11,SalvianoDias7,"R$ 30,61"
14,Perfume Hugo Boss,2022-02-15 17:00:00,2022-02-15 19:04:07,Luiscma96,"R$ 13,29"
15,Pacote 50 Lances,2022-02-15 18:00:00,2022-02-15 18:21:00,mmacielneto,"R$ 2,70"
16,IPhone 13 Pro,2022-02-15 10:00:00,2022-02-15 17:15:08,pietrojovezzi,"R$ 42,57"
17,Smart TV 75,2022-02-15 16:00:00,2022-02-15 16:45:34,beirinhamg,"R$ 6,99"
18,Bicicleta Aro 29,2022-02-15 13:00:00,2022-02-15 15:33:05,Gomide31,"R$ 14,35"
19,Pacote 50 Lances,2022-02-15 15:00:00,2022-02-15 15:04:25,Marcelo Rezende,"R$ 0,94"
20,PIX de 1.000,2022-02-15 11:00:00,2022-02-15 14:54:59,cinthiadalle,"R$ 24,63"
21,Apple Watch Series,2022-02-15 07:00:00,2022-02-15 13:34:16,barbabranca,"R$ 35,76"
22,Pacote 100 Lances,2022-02-15 12:00:00,2022-02-15 12:02:24,evertoncesar,"R$ 0,73"
23,Pacote 50 Lances,2022-02-15 09:00:00,2022-02-15 09:13:04,ALECKSANDRA,"R$ 1,74"
24,GoPro HERO 9,2022-02-15 08:00:00,2022-02-15 08:18:04,JotinhaXP,"R$ 2,18"
25,Pacote 50 Lances,2022-02-15 06:00:00,2022-02-15 06:07:36,Amandy15,"R$ 1,35"
26,Honda CG 160,2022-02-13 16:00:00,2022-02-15 04:43:21,email,"R$ 228,07"
27,A Intel Core,2022-02-14 22:00:00,2022-02-15 04:25:38,Heitoralphaville,"R$ 37,24"
28,Pacote 100 Lances,2022-02-14 23:00:00,2022-02-14 23:09:48,claycsilva,"R$ 1,85"
29,Esteira Ergométrica El,2022-02-14 20:30:00,2022-02-14 22:32:22,Adlerr,"R$ 11,94"
30,Pacote 100 Lances,2022-02-14 21:00:00,2022-02-14 22:04:22,Christo,"R$ 7,36"
31,Drone Multilaser Eagle,2022-02-14 19:30:00,2022-02-14 21:55:50,Solange22,"R$ 11,97"
32,Patinete Elétrico Maj,2022-02-14 20:00:00,2022-02-14 21:08:41,email,"R$ 6,77"
33,Fone Bose Quietcomfort,2022-02-14 19:00:00,2022-02-14 20:44:54,jalney1000,"R$ 10,38"
34,GoPro HERO 9,2022-02-14 13:00:00,2022-02-14 20:16:17,CalazansMG,"R$ 39,82"
35,Refrigerador Brastemp Frost,2022-02-14 17:00:00,2022-02-14 19:18:43,email,"R$ 13,91"
36,Pacote 50 Lances,2022-02-14 18:00:00,2022-02-14 18:04:54,Liviakarlla,"R$ 0,99"
37,Smart TV LED,2022-02-14 16:00:00,2022-02-14 17:04:30,LEOFOREX,"R$ 8,32"
38,Pacote 50 Lances,2022-02-14 15:00:00,2022-02-14 15:33:39,Hildean,"R$ 5,01"
39,Caixa de Som,2022-02-14 11:00:00,2022-02-14 15:10:57,Dani_alamo_adv,"R$ 23,39"
40,Smart TV LED,2022-02-14 14:00:00,2022-02-14 14:01:34,HenriqueFoleman,"R$ 1,61"
41,IPhone 13 Pro,2022-02-14 10:00:00,2022-02-14 13:42:35,Lima Lanches BH,"R$ 21,99"
42,Patinete Elétrico Foston,2022-02-14 07:00:00,2022-02-14 13:00:22,Zamboni_Marcos,"R$ 34,57"
43,Pacote 100 Lances,2022-02-14 12:00:00,2022-02-14 12:34:19,vamosla3685,"R$ 4,68"
44,Pacote 50 Lances,2022-02-14 09:00:00,2022-02-14 09:17:43,vamosla3685,"R$ 1,62"
45,PIX de 1.000,2022-02-14 08:00:00,2022-02-14 08:45:32,TanusPicoli71,"R$ 5,35"
46,Pacote 50 Lances,2022-02-14 06:00:00,2022-02-14 06:10:38,Néia Soprani,"R$ 1,79"
47,MacBook Air Intel,2022-02-13 22:00:00,2022-02-14 00:40:16,jucastrol,"R$ 17,47"
48,Pacote 100 Lances,2022-02-13 23:00:00,2022-02-13 23:41:06,email,"R$ 5,23"
49,Drone Multilaser Eagle,2022-02-13 20:30:00,2022-02-13 23:12:31,HEBER36,"R$ 14,01"
50,Smart TV 75,2022-02-13 20:00:00,2022-02-13 22:32:43,Wander1234,"R$ 17,80"
