,product,started,closed,winner,price
0,Apple Watch Series,2021-12-31 07:00:00,2021-12-31 12:34:23,jalney1000,"R$ 31,59"
1,Caixa de Som,2021-12-31 11:00:00,2021-12-31 12:34:20,OscarRody,"R$ 12,20"
2,Pacote 100 Lances,2021-12-31 12:00:00,2021-12-31 12:01:18,Hermes28,"R$ 0,38"
3,IPhone 13 Pro,2021-12-31 10:00:00,2021-12-31 10:25:22,samba13,"R$ 3,75"
4,Smart TV 75,2021-12-30 20:00:00,2021-12-31 10:00:11,Adlerr,"R$ 77,86"
5,Pacote 50 Lances,2021-12-31 09:00:00,2021-12-31 09:02:07,Evertinosp,"R$ 0,54"
6,PIX de 1.000,2021-12-31 08:00:00,2021-12-31 08:29:57,walmarques,"R$ 5,44"
7,IPhone 13 Pro,2021-12-30 10:00:00,2021-12-31 06:50:28,email,"R$ 160,56"
8,Smart TV LED,2021-12-30 14:00:00,2021-12-31 06:43:40,vem2022,"R$ 106,84"
9,Pacote 50 Lances,2021-12-31 06:00:00,2021-12-31 06:02:43,Adosantospei,"R$ 1,26"
10,Maquina De Gelo,2021-12-30 20:30:00,2021-12-31 00:12:52,cadumusic,"R$ 20,03"
11,Pacote 100 Lances,2021-12-30 23:00:00,2021-12-30 23:41:04,micdandee,"R$ 5,16"
12,MacBook Air Intel,2021-12-30 22:00:00,2021-12-30 23:20:54,PIERO MARCON,"R$ 11,03"
13,PIX de 500,2021-12-30 19:30:00,2021-12-30 22:27:43,mimdepapai.,"R$ 18,77"
14,Pacote 100 Lances,2021-12-30 21:00:00,2021-12-30 21:59:25,sagui,"R$ 6,77"
15,Notebook Dell Core,2021-12-30 19:00:00,2021-12-30 20:37:26,email,"R$ 13,08"
16,Honda CG 160,2021-12-30 16:00:00,2021-12-30 18:38:39,arleimiguel13,"R$ 18,57"
17,Pacote 50 Lances,2021-12-30 18:00:00,2021-12-30 18:05:55,anesia,"R$ 1,41"
18,Whisky Royal Salute,2021-12-30 17:00:00,2021-12-30 17:35:00,catenacci,"R$ 3,72"
19,Pacote 50 Lances,2021-12-30 15:00:00,2021-12-30 16:13:12,Russolan,"R$ 10,12"
20,5 Polegadas Vermelho,2021-12-30 13:00:00,2021-12-30 15:41:02,Ritinhaa,"R$ 16,12"
21,Apple Watch Series,2021-12-30 11:00:00,2021-12-30 14:44:18,email,"R$ 23,66"
22,Cama Box Colch,2021-12-30 07:00:00,2021-12-30 14:13:57,R.E.N.A.T.O,"R$ 40,84"
23,PIX de 1.000,2021-12-30 08:00:00,2021-12-30 12:38:04,esse é meu sim,"R$ 32,46"
24,Pacote 100 Lances,2021-12-30 12:00:00,2021-12-30 12:05:47,Kamila Gomes,"R$ 1,41"
25,Pacote 50 Lances,2021-12-30 09:00:00,2021-12-30 09:01:53,igoralvess99,"R$ 0,52"
26,A Intel Core,2021-12-29 22:00:00,2021-12-30 07:37:27,EmersonSoriani,"R$ 69,40"
27,Pacote 50 Lances,2021-12-30 06:00:00,2021-12-30 06:15:58,felipesp23,"R$ 2,24"
28,Câmera Insta360 One,2021-12-29 07:00:00,2021-12-30 03:57:36,perini.pedro,"R$ 106,63"
29,Patinete Elétrico Foston,2021-12-29 20:30:00,2021-12-29 23:45:44,andréluissabagg,"R$ 18,72"
30,Pacote 100 Lances,2021-12-29 23:00:00,2021-12-29 23:08:21,De_Paul,"R$ 2,04"
31,Refrigerador Brastemp Frost,2021-12-29 19:00:00,2021-12-29 22:17:53,Marcelo Figueiró,"R$ 25,33"
32,Pacote 100 Lances,2021-12-29 21:00:00,2021-12-29 21:13:52,Dubai...,"R$ 1,95"
33,5 Digital Edition,2021-12-29 20:00:00,2021-12-29 21:05:56,sidmarques,"R$ 9,72"
