,product,started,closed,winner,price
0,A Intel Core,2021-12-01 22:00:00,2021-12-02 03:35:37,GiLANCE,"R$ 38,78"
1,Caixa de Som,2021-12-01 19:30:00,2021-12-02 00:52:59,Murill0,"R$ 32,12"
2,Pacote 100 Lances,2021-12-01 23:00:00,2021-12-01 23:35:12,MJSG,"R$ 5,27"
3,Smart TV LED,2021-12-01 20:00:00,2021-12-01 22:57:29,sai pra lá,"R$ 23,16"
4,Pacote 100 Lances,2021-12-01 21:00:00,2021-12-01 21:35:45,Zomm,"R$ 4,76"
5,GoPro HERO 9,2021-12-01 20:30:00,2021-12-01 21:32:35,GiLANCE,"R$ 6,38"
6,Chaise Hungria Trama,2021-12-01 19:00:00,2021-12-01 20:59:04,email,"R$ 10,17"
7,IPhone 13 Pro,2021-12-01 10:00:00,2021-12-01 19:59:13,Pirenópolis,"R$ 67,11"
8,Pacote 50 Lances,2021-12-01 18:00:00,2021-12-01 18:15:15,daniel022,"R$ 2,66"
9,Mini Ar Condicionado,2021-12-01 13:00:00,2021-12-01 16:18:14,R.Possebon,"R$ 16,59"
10,5 Digital Edition,2021-12-01 16:00:00,2021-12-01 16:07:22,m_rimazzi,"R$ 3,92"
11,Pacote 50 Lances,2021-12-01 15:00:00,2021-12-01 15:35:53,Tita Gato,"R$ 5,01"
12,Monitor LG LED,2021-12-01 14:00:00,2021-12-01 14:11:37,carloslondres2,"R$ 2,17"
13,Pacote 100 Lances,2021-12-01 12:00:00,2021-12-01 13:58:45,alison.will,"R$ 15,06"
14,Patinete Elétrico Foston,2021-12-01 11:00:00,2021-12-01 11:41:25,Tercio Vilet,"R$ 4,85"
15,Samsung Galaxy S20,2021-11-30 14:00:00,2021-12-01 10:21:30,marcelocimed,"R$ 115,37"
16,Pacote 50 Lances,2021-12-01 09:00:00,2021-12-01 09:14:10,@victor_hacosta,"R$ 2,26"
17,PIX de 1.000,2021-12-01 08:00:00,2021-12-01 08:44:19,Vitor BC 2022,"R$ 5,32"
18,MacBook Air Intel,2021-11-30 22:00:00,2021-12-01 07:51:30,LEOFOREX,"R$ 47,98"
19,Adega 8 garrafas,2021-12-01 07:00:00,2021-12-01 07:12:59,Dani_alamo_adv,"R$ 1,39"
20,Pacote 50 Lances,2021-12-01 06:00:00,2021-12-01 06:03:28,Henning23,"R$ 0,84"
21,Cervejeira Metalfrio VN50FL,2021-11-30 17:00:00,2021-12-01 04:08:48,email,"R$ 58,87"
22,f15 core i7,2021-11-30 19:00:00,2021-12-01 03:00:14,Guido.,"R$ 47,72"
23,Pacote 100 Lances,2021-11-30 23:00:00,2021-11-30 23:45:24,email,"R$ 6,37"
24,Fone Bose Quietcomfort,2021-11-30 20:30:00,2021-11-30 23:18:15,Fernão_Pierri,"R$ 16,05"
25,Pacote 100 Lances,2021-11-30 21:00:00,2021-11-30 21:26:08,SIMIANNY,"R$ 4,37"
26,Smart TV 75,2021-11-30 20:00:00,2021-11-30 21:05:52,inovart,"R$ 7,96"
27,Climatizador de Ar,2021-11-30 19:30:00,2021-11-30 20:19:02,email,"R$ 4,44"
28,5 Digital Edition,2021-11-30 16:00:00,2021-11-30 18:11:40,SÁBIO,"R$ 11,78"
29,Pacote 50 Lances,2021-11-30 18:00:00,2021-11-30 18:03:19,DornelesG,"R$ 0,63"
30,Pacote 50 Lances,2021-11-30 15:00:00,2021-11-30 15:16:47,wjminiaturas,"R$ 2,45"
31,IPhone 13 Pro,2021-11-30 10:00:00,2021-11-30 14:58:37,matiê moura,"R$ 35,28"
32,Cama Box Colch,2021-11-30 08:00:00,2021-11-30 14:50:36,Alcides Marin,"R$ 46,18"
33,Drone Multilaser Eagle,2021-11-30 13:00:00,2021-11-30 14:16:39,VACINADO,"R$ 7,21"
34,Pacote 100 Lances,2021-11-30 12:00:00,2021-11-30 12:13:17,marcusp181,"R$ 2,52"
35,Apple Watch Series,2021-11-30 11:00:00,2021-11-30 11:49:17,JCAVALLi,"R$ 5,30"
36,Pacote 50 Lances,2021-11-30 09:00:00,2021-11-30 09:02:24,marcusp181,"R$ 0,54"
37,Caixa de Som,2021-11-30 07:00:00,2021-11-30 07:35:49,quézio,"R$ 5,20"
38,Pacote 50 Lances,2021-11-30 06:00:00,2021-11-30 06:09:26,ETesta,"R$ 1,71"
39,IPhone 13 Pro,2021-11-29 10:00:00,2021-11-30 02:26:56,Alcides Marin,"R$ 102,28"
40,5 Digital Edition,2021-11-29 20:00:00,2021-11-30 01:25:06,Rahcorrea27,"R$ 39,09"
41,A Intel Core,2021-11-29 22:00:00,2021-11-29 23:45:39,email,"R$ 10,40"
42,Pacote 100 Lances,2021-11-29 23:00:00,2021-11-29 23:04:36,@psantos,"R$ 0,97"
43,GoPro HERO 9,2021-11-29 20:30:00,2021-11-29 22:28:14,Jocimas2,"R$ 13,23"
44,Pacote 100 Lances,2021-11-29 21:00:00,2021-11-29 21:26:26,TANINHA MG,"R$ 4,28"
45,Notebook Dell Core,2021-11-29 19:00:00,2021-11-29 20:28:55,Rahcorrea27,"R$ 9,96"
46,Drone Multilaser Eagle,2021-11-29 07:00:00,2021-11-29 20:09:09,jp_XP,"R$ 54,28"
47,Liquidificador Philips Walita,2021-11-29 19:30:00,2021-11-29 19:37:41,Robsonfu,"R$ 1,05"
48,Honda CG 160,2021-11-28 20:00:00,2021-11-29 01:58:23,SONHOMEU,"R$ 36,59"
49,Pacote 100 Lances,2021-11-28 23:00:00,2021-11-28 23:15:52,email,"R$ 2,22"
50,Refrigerador Brastemp Frost,2021-11-28 19:00:00,2021-11-28 23:09:27,Dani_alamo_adv,"R$ 25,30"
51,Pipoqueira Classic Retr,2021-11-28 20:30:00,2021-11-28 23:05:02,Luiscma96,"R$ 15,39"
52,MacBook Air Intel,2021-11-28 22:00:00,2021-11-28 22:42:42,JordâniaAlves,"R$ 4,88"
53,Pacote 100 Lances,2021-11-28 21:00:00,2021-11-28 21:09:30,rosa2021ama,"R$ 1,49"
54,Cafeteira Dolce Gusto,2021-11-28 19:30:00,2021-11-28 20:37:13,Maria neuma,"R$ 5,03"
55,Smart TV LED,2021-11-27 20:00:00,2021-11-28 18:53:58,KANDREVA,"R$ 135,67"
56,Pacote 50 Lances,2021-11-28 18:00:00,2021-11-28 18:02:07,Zomm,"R$ 0,72"
57,Smart TV 75,2021-11-28 16:00:00,2021-11-28 17:04:31,viniTESTA,"R$ 7,54"
58,Fone Bose Quietcomfort,2021-11-28 14:00:00,2021-11-28 17:02:41,cerballos,"R$ 21,29"
59,Pacote 50 Lances,2021-11-28 15:00:00,2021-11-28 15:28:44,Morenops4,"R$ 3,08"
60,Maquina De Gelo,2021-11-28 13:00:00,2021-11-28 14:26:49,FamiliaFaustini,"R$ 9,11"
61,Pacote 100 Lances,2021-11-28 12:00:00,2021-11-28 13:11:33,Kamikaze78,"R$ 9,23"
62,Caixa de Som,2021-11-28 11:00:00,2021-11-28 12:53:47,Agenor Mendonça,"R$ 12,38"
63,PIX de 1.000,2021-11-28 08:00:00,2021-11-28 12:39:55,EDU_VOGT,"R$ 26,78"
64,IPhone 13 Pro,2021-11-28 10:00:00,2021-11-28 10:37:07,gildodespachante,"R$ 5,97"
65,Pacote 50 Lances,2021-11-28 09:00:00,2021-11-28 09:04:13,TANINHA MG,"R$ 0,71"
66,Patinete Elétrico Foston,2021-11-28 07:00:00,2021-11-28 07:15:16,wandy90,"R$ 1,94"
67,Pacote 50 Lances,2021-11-28 06:00:00,2021-11-28 06:04:51,Wesley.maxsuel,"R$ 1,33"
68,A Intel Core,2021-11-27 22:00:00,2021-11-28 01:43:03,Beraldo2000,"R$ 21,67"
69,Notebook Dell Core,2021-11-27 19:00:00,2021-11-28 01:01:06,narapozzan,"R$ 30,42"
70,5 Polegadas Vermelho,2021-11-27 14:00:00,2021-11-27 23:52:15,CTrader,"R$ 44,12"
71,Pacote 100 Lances,2021-11-27 23:00:00,2021-11-27 23:00:48,meykiu,"R$ 0,58"
72,Cervejeira Metalfrio VN50FL,2021-11-27 17:00:00,2021-11-27 21:04:23,Tercio Vilet,"R$ 26,53"
73,Pacote 100 Lances,2021-11-27 21:00:00,2021-11-27 21:03:57,AndreLuiz41,"R$ 0,70"
74,Impressora Canon Pixma,2021-11-27 20:30:00,2021-11-27 20:48:55,Pksub15,"R$ 1,95"
75,Cama Box Colch,2021-11-27 19:30:00,2021-11-27 19:41:38,cidocastro7,"R$ 1,62"
76,Pacote 50 Lances,2021-11-27 18:00:00,2021-11-27 18:21:58,NOTURNOJF,"R$ 3,72"
77,IPhone 13 Pro,2021-11-26 10:00:00,2021-11-27 17:55:59,vagnerpirajá,"R$ 223,95"
78,Smart TV 75,2021-11-27 16:00:00,2021-11-27 17:12:59,Dani.secci,"R$ 9,31"
79,Pacote 50 Lances,2021-11-27 15:00:00,2021-11-27 15:29:50,Nicolaufrutas,"R$ 3,90"
80,Cafeteira Dolce Gusto,2021-11-27 13:00:00,2021-11-27 14:29:42,email,"R$ 9,44"
