,product,started,closed,winner,price
0,A Intel Core,2021-11-01 22:00:00,2021-11-02 03:03:36,Adélio_M_Salles,"R$ 32,44"
1,MacBook Air Intel,2021-10-31 22:00:00,2021-11-02 01:32:02,@cpiracicaba__,"R$ 165,67"
2,Câmera Insta360 One,2021-11-01 20:00:00,2021-11-01 23:49:53,vieiramarcio13,"R$ 17,12"
3,Pacote 100 Lances,2021-11-01 23:00:00,2021-11-01 23:03:44,Mirinha07,"R$ 1,01"
4,Pacote 100 Lances,2021-11-01 21:00:00,2021-11-01 21:44:13,Cleberal,"R$ 6,81"
5,PIX de 1.000,2021-11-01 20:30:00,2021-11-01 21:01:57,lorenzohoff,"R$ 6,35"
6,Cervejeira Metalfrio VN50FL,2021-11-01 17:00:00,2021-11-01 20:39:08,Agenor Mendonça,"R$ 20,03"
7,GoPro HERO 9,2021-11-01 19:00:00,2021-11-01 20:20:00,FERNANDOSANTI,"R$ 7,07"
8,Tablet How 7,2021-11-01 19:30:00,2021-11-01 19:36:35,Baffo,"R$ 1,47"
9,Pacote 50 Lances,2021-11-01 18:00:00,2021-11-01 18:22:38,rafael.03.03,"R$ 3,41"
10,Lava E Seca,2021-11-01 14:00:00,2021-11-01 17:32:09,zildair.mores,"R$ 24,69"
11,5 Digital Edition,2021-11-01 16:00:00,2021-11-01 16:28:23,EmersonSoriani,"R$ 5,68"
12,Pacote 50 Lances,2021-11-01 15:00:00,2021-11-01 15:46:38,vania_mbispo,"R$ 6,97"
13,Esteira Ergométrica El,2021-11-01 11:00:00,2021-11-01 14:15:08,Vainner-SC,"R$ 21,30"
14,Smart TV LED,2021-11-01 13:00:00,2021-11-01 13:18:33,MARTEL0,"R$ 5,33"
15,Pacote 100 Lances,2021-11-01 12:00:00,2021-11-01 12:05:03,email,"R$ 1,89"
16,Bicicleta Aro 29,2021-11-01 08:00:00,2021-11-01 09:16:10,henning_fabio,"R$ 8,21"
17,Pacote 50 Lances,2021-11-01 09:00:00,2021-11-01 09:01:45,ElanioPeterson,"R$ 0,76"
18,Apple Watch Series,2021-11-01 07:00:00,2021-11-01 07:59:00,MAEDA,"R$ 5,75"
19,Pacote 50 Lances,2021-11-01 06:00:00,2021-11-01 06:04:57,email,"R$ 1,63"
20,Smart TV LED,2021-10-31 16:00:00,2021-11-01 01:39:18,email,"R$ 65,17"
21,5 Digital Edition,2021-10-31 17:00:00,2021-11-01 00:42:16,RICAMIL,"R$ 51,35"
22,Pacote 100 Lances,2021-10-31 23:00:00,2021-10-31 23:29:14,Fakstel,"R$ 4,25"
23,Pipoqueira Classic Retr,2021-10-31 19:30:00,2021-10-31 22:40:44,sachetti,"R$ 17,31"
24,Patinete Elétrico Foston,2021-10-31 14:00:00,2021-10-31 22:21:41,TonyCeretto,"R$ 47,89"
25,Adega 8 garrafas,2021-10-31 20:30:00,2021-10-31 21:56:22,FOSTER13,"R$ 6,36"
26,Pacote 100 Lances,2021-10-31 21:00:00,2021-10-31 21:11:44,MSaldanhaKaizen,"R$ 2,12"
27,Honda CG 160,2021-10-31 20:00:00,2021-10-31 20:56:23,Renatovilas,"R$ 9,61"
28,Caixa de Som,2021-10-31 19:00:00,2021-10-31 19:25:24,nparoateganhar,"R$ 4,29"
29,IPhone 13 Pro,2021-10-31 10:00:00,2021-10-31 18:14:01,serepieri,"R$ 58,40"
30,Pacote 50 Lances,2021-10-31 18:00:00,2021-10-31 18:02:48,dnaro,"R$ 1,20"
31,Pacote 50 Lances,2021-10-31 15:00:00,2021-10-31 15:18:58,pauloenos,"R$ 2,86"
32,Pacote 100 Lances,2021-10-31 12:00:00,2021-10-31 13:34:08,HBjj,"R$ 11,03"
33,Monitor LG LED,2021-10-31 13:00:00,2021-10-31 13:19:22,Ramoni,"R$ 2,98"
34,Bicicleta Aro 29,2021-10-31 11:00:00,2021-10-31 11:10:17,cheiodelances,"R$ 2,68"
35,PIX de 500,2021-10-31 08:00:00,2021-10-31 10:52:17,FamiliaFaustini,"R$ 21,10"
36,Apple Watch Series,2021-10-31 07:00:00,2021-10-31 10:22:33,vagnerpirajá,"R$ 19,64"
37,Pacote 50 Lances,2021-10-31 09:00:00,2021-10-31 09:07:17,Jp5826,"R$ 1,25"
38,Patinete Elétrico Maj,2021-10-30 20:00:00,2021-10-31 06:57:45,heliopt13,"R$ 64,61"
39,Pacote 50 Lances,2021-10-31 06:00:00,2021-10-31 06:15:41,pauloenos,"R$ 3,15"
40,A Intel Core,2021-10-30 22:00:00,2021-10-31 05:03:56,gildodespachante,"R$ 45,58"
41,Lava E Seca,2021-10-30 17:00:00,2021-10-31 00:58:15,LEOFOREX,"R$ 53,57"
42,Pacote 100 Lances,2021-10-30 23:00:00,2021-10-30 23:11:30,rodrigokerber,"R$ 2,55"
43,GoPro HERO 9,2021-10-30 20:30:00,2021-10-30 21:42:56,waltz221,"R$ 8,87"
44,Pacote 100 Lances,2021-10-30 21:00:00,2021-10-30 21:06:40,AndreLuiz41,"R$ 2,27"
45,Smart TV 75,2021-10-30 16:00:00,2021-10-30 20:04:21,Rahcorrea27,"R$ 35,71"
46,Maquina De Gelo,2021-10-30 19:30:00,2021-10-30 19:45:11,Lorenzo_De_Carvalho,"R$ 1,80"
47,Cervejeira Metalfrio VN50FL,2021-10-30 19:00:00,2021-10-30 19:10:42,FabioTrader,"R$ 1,75"
